https://7esl.com/synonyms/#comments
Abandon —– Forsake
Able —– Capable
Accomplish —– Achieve
Accurate —– Precise
Active —– Athletic
Admit —– Confess
Agree —– Consent
Aim —– Goal/ Purpose
Alike —– Same
All —– Every
Allow —– Permit
Amiable —– Friendly
Amount —– Quantity
Angry —– Mad/ Irritated
Arrive —– Reach
Ask —– Enquire
Assist —– Help
Assure —– Guarantee
Attire —– Dress
Away —– Absent
Awful —– Terrible/ Bad
Bargain —– Deal
Begin —– Start
Beginner —– Novice/ Amateur
Behave —– Act
Belly —– Stomach
Below —– Under
Big —– Vast/ Large
Blank —– Empty
Blend —– Mix
Bother —– Annoy
Brave —– Courageous
Broad —– Wide
Brute —– Rough/ Violent
Bucket —– Pail
Bunny —– Rabbit
Business —– Trade
Buy —– Purchase

Center —– Middle
Chiefly —– Mainly
Child —– Kid
Choose —– Select/ Pick
Chop —– Cut
Close —– Shut
Coarse —– Rough
Coat —– Jacket
Cold —– Chilly/ Freezing
Competent —– Capable
Complete —– Finish
Complex —– Complicated
Connect —– Join
Cope —– Manage
Couch —– Sofa
Crash —– Accident
Crook —– Criminal
Cry —– Weep
Cunning —– Clever
Danger —– Harm
Daybreak —– Dawn/ Sunrise
Dear —– Expensive
Defective —– Faulty
Delicious —– Yummy
Demolish —– Destroy/ Wreck
Demonstrate —– Protest
Denounce —– Blame/ Indict
Dense —– Thick/ Heavy
Depart —– Leave
Despise —– Hate/ Detest/ Loathe
Destiny —– Fate
Destitute —– Poor/ Penniless
Detach —– Remove
Deter —– Hinder
Determined —– Sure/ Convinced
Different —– Diverse
Difficult —– Hard
Diminish —– Decrease
Disappear —– Vanish
Disclose —– Reveal
Down —– Below
Earth —– Ground
Easy —– Simple
Encourage —– Urge
End —– Finish/ Conclude
Enlarge —– Magnify
Enormous —– Huge
Enquire —– Investigate
Evaluate —– Assess
Everlasting —– Eternal
Extra —– Additional
Faithful —– Loyal/ Devoted
Fall —– Drop
False —– Untrue
Famous —– Renowned
Fantastic —– Great
Fast —– Quick
Father —– Dad
Find —– Discover
